year;total_vehicle;population
2002;   8 655 170;    69 302
2003;   8 903 843;    70 231
2004;   10 236 357;    71 152
2005;   11 145 826;    72 065
2006;   12 227 393;    72 974
2007;   13 022 945;    70 586
2008;   13 765 395;    71 517
2009;   14 316 700;    72 561
2010;   15 095 603;    73 723
2011;   16 089 528;    74 724
2012;   17 033 413;    75 627
2013;   17 939 447;    76 668
2014;   18 828 721;    77 696
2015;   19 994 472;    78 741
2016;  21 090 424;   79 815
2017;   22 218 945;    80 811
2018;  22 865 921;   82 004
2019;  23 156 975;   83 155
2020;  24 144 857;   83 614
2021;  25 249 119;   84 680
2022;  26 482 847;   85 280
2023;  28 740 492;   85 372
